userId,movieId,rating,timestamp
122270,8360,3.5,2012-04-22 01:07:04
49018,32,2.0,2001-09-11 07:50:36
89527,109374,3.5,2015-01-06 09:26:40
106704,1060,3.0,2000-01-22 21:27:57
47791,1732,2.0,2006-01-19 15:48:23
11304,504,1.0,2003-05-01 17:20:18
49851,1792,2.5,2003-08-04 02:41:55
40721,32213,4.0,2015-02-01 01:01:04
136187,1816,2.0,2003-03-08 21:41:32
132231,3996,5.0,2003-08-04 18:40:10
66226,2302,3.0,2005-05-27 17:37:43
92525,2340,4.0,2006-05-31 16:00:17
60653,4007,4.0,2005-05-15 02:18:09
121449,1136,4.0,1999-12-31 00:53:29
135385,1079,4.5,2007-11-04 17:58:35
73022,780,5.0,1997-11-25 09:02:38
49439,1086,4.5,2004-09-29 17:24:31
3288,6979,4.5,2004-02-22 00:44:43
92185,186,0.5,2004-10-13 02:08:23
118549,2003,3.0,1998-07-29 14:30:23
20619,62,3.0,2009-08-24 22:14:03
5471,5060,5.0,1999-11-13 00:43:56
61740,8866,3.5,2005-03-22 18:15:17
123719,3153,4.0,2000-03-16 04:13:34
75231,588,3.5,2005-07-07 18:14:43
107440,40732,3.5,2006-08-06 19:21:29
81523,151,3.0,2005-02-06 17:10:23
45660,81845,4.5,2014-01-17 12:13:47
57377,968,4.0,1999-11-11 07:49:34
81218,321,1.0,1996-06-04 01:05:49
112292,150,4.0,1996-10-04 11:44:13
55668,610,3.5,2013-05-10 08:42:25
46653,1407,0.5,2007-07-14 17:13:38
51995,69526,4.0,2015-03-24 18:20:44
66358,1556,2.5,2011-01-29 22:17:42
2568,5945,3.0,2014-07-09 10:16:04
65530,1275,4.5,2008-11-20 03:00:26
4786,8641,4.0,2006-09-25 13:39:34
81740,3269,3.0,2005-12-18 17:33:43
125362,4425,2.0,2002-02-03 16:22:55
130446,84152,4.0,2014-07-06 00:53:01
26875,296,1.0,2002-10-18 13:13:26
116490,1641,4.0,2008-05-15 02:51:26
45087,434,4.0,1996-12-13 17:21:31
80807,6874,4.0,2009-07-21 11:39:51
62515,2702,4.0,1999-10-02 18:12:52
56831,6539,4.5,2005-03-22 09:36:39
63688,3391,4.0,2003-01-06 23:36:24
117543,780,2.0,1999-04-20 12:05:31
71992,4896,4.0,2001-12-31 20:16:56
37413,2077,4.0,2003-11-22 02:45:44
108502,3543,3.0,2001-02-08 21:38:23
113912,593,4.0,1996-06-22 17:37:58
102032,6157,2.0,2007-05-22 23:00:46
100332,5418,3.5,2006-12-27 21:22:33
110890,52,4.0,2000-07-06 11:18:36
126432,3361,3.0,2000-11-23 04:31:03
120267,4020,3.5,2003-11-22 12:59:21
10434,358,3.0,1996-07-10 21:19:17
69932,351,3.0,1996-07-22 16:03:20
30849,7063,5.0,2012-06-22 05:34:42
81607,1997,3.5,2004-05-15 00:04:32
32667,2762,4.0,1999-10-11 08:53:48
58639,1042,1.0,2000-08-21 20:17:09
45533,2243,5.0,2003-01-15 18:11:33
92992,59369,3.0,2012-09-01 15:39:27
21227,786,3.0,1996-12-27 23:59:58
103649,2279,5.0,1999-01-22 16:33:01
92349,292,3.0,2006-02-14 22:04:34
121115,3752,4.0,2000-09-04 16:09:40
90462,2539,4.0,1999-10-03 01:19:14
117793,2694,3.0,2013-08-04 06:11:57
123719,1513,3.0,2000-03-16 03:50:42
75115,7361,4.5,2009-10-23 22:32:04
115904,60,4.0,1996-05-23 16:14:13
48186,588,4.0,1996-09-19 11:05:43
6539,2858,4.0,1999-10-17 08:50:58
103126,2858,5.0,2000-09-09 04:42:51
46412,543,3.0,1996-06-25 15:54:04
89392,71876,3.0,2010-03-09 18:12:51
76997,46850,4.0,2007-02-10 20:04:48
79159,5001,4.0,2009-03-06 04:20:52
120773,780,4.0,2012-06-14 00:08:43
11701,5952,3.5,2007-07-03 07:22:06
8566,538,4.5,2004-02-16 19:31:22
103687,1247,3.0,2003-07-30 18:55:44
96664,780,4.0,1996-12-04 08:31:24
115982,3638,4.5,2006-10-05 03:41:29
121660,2290,4.0,1999-10-04 11:42:21
7058,2395,2.0,2012-03-07 05:45:09
88011,593,5.0,1996-05-10 15:24:46
138416,69,4.0,2012-09-01 10:56:42
103610,11,5.0,1998-01-10 21:49:38
29140,1408,4.0,2000-11-20 19:18:42
7376,662,2.0,1997-03-08 10:23:32
12931,2194,5.0,2000-11-17 19:15:10
48578,910,5.0,2004-05-22 23:21:35
59852,2641,3.0,2000-09-09 16:52:53
17842,87232,4.0,2012-02-18 18:49:39
137818,4728,3.5,2010-07-03 00:08:50
74336,3175,3.5,2007-01-02 22:38:51
45385,589,5.0,1996-06-11 08:32:41
47488,1339,4.0,2000-11-29 23:29:27
12286,1653,5.0,2009-02-20 22:25:17
89549,1197,4.0,2009-10-21 04:48:18
29511,33166,3.0,2007-05-08 21:13:44
38917,356,5.0,2004-05-04 15:24:46
84851,208,3.0,1996-05-22 14:32:53
65431,6409,3.5,2004-02-16 22:02:02
36308,82463,4.0,2011-09-18 07:58:04
84160,1963,3.0,2006-09-17 13:45:22
138228,110,4.0,1997-01-17 16:43:47
67015,1219,3.0,2009-06-03 13:39:34
47690,4447,3.0,2001-12-20 14:27:46
93063,1196,5.0,2011-01-08 03:18:30
55304,1289,5.0,2000-03-06 20:01:32
14013,3910,5.0,2003-06-17 15:01:32
69894,912,5.0,2005-07-26 03:03:23
33991,6887,4.0,2008-05-04 20:13:35
103362,60069,4.5,2008-09-24 01:44:02
87338,2167,2.0,2005-05-25 20:56:32
101705,805,5.0,1997-03-27 13:08:39
94855,147,2.0,2008-12-09 01:09:44
75939,5902,4.5,2005-02-07 15:47:12
37018,1080,4.0,2000-07-03 02:23:23
51991,55247,3.5,2008-12-22 21:18:41
107103,296,5.0,1999-12-22 00:07:27
58359,3186,3.0,2014-10-14 22:59:08
22182,839,1.0,2000-08-03 04:16:09
106218,3326,4.0,2008-11-20 23:03:22
109310,2629,3.0,2002-11-30 00:40:38
109084,1131,0.5,2011-05-14 17:05:22
26809,1485,0.5,2006-03-15 19:54:38
13757,30793,4.0,2005-10-07 05:54:50
129142,520,3.0,2007-01-05 21:43:07
63147,1365,2.5,2009-06-20 03:58:28
22149,1645,3.0,2000-03-09 22:18:44
48000,7454,2.0,2008-09-08 10:10:33
115146,6,4.5,2006-08-02 08:58:05
69480,253,2.0,1996-07-07 12:55:11
122266,8622,3.0,2014-04-19 00:40:24
90078,4855,5.0,2004-12-17 05:12:11
90878,1968,4.0,2003-06-28 21:44:48
81739,1831,3.0,2002-04-12 20:50:29
68596,1959,5.0,2000-04-14 16:53:58
1267,1701,2.0,2001-02-13 07:30:38
96250,29,5.0,2001-09-01 20:02:26
128190,4518,4.0,2002-09-06 20:49:17
124048,4848,4.0,2005-06-28 17:48:31
93219,2746,1.0,2000-11-20 10:17:07
32881,76251,3.0,2011-08-30 23:12:24
11846,2081,4.0,2012-10-06 20:20:24
79715,225,2.5,2010-07-27 22:52:50
903,2369,3.0,2000-11-29 22:17:46
79904,57504,4.0,2014-03-01 10:59:37
82635,342,3.5,2008-08-01 20:51:26
133367,415,4.0,1996-09-06 13:00:19
101749,3362,5.0,2002-05-13 20:58:36
1729,1378,1.0,1999-10-15 09:34:39
115711,1225,5.0,2014-03-29 01:49:48
36093,1243,3.0,1997-09-25 21:02:26
68296,3624,4.0,2004-07-28 22:35:32
27074,5064,3.5,2004-08-10 21:04:04
9240,778,5.0,1997-05-13 21:26:56
31782,5872,3.5,2014-08-03 11:02:01
73948,1019,4.0,2006-06-04 22:40:58
63078,3450,3.5,2007-01-28 23:13:48
9109,1291,4.0,2001-12-23 01:05:01
48875,1041,4.0,2000-08-29 18:14:55
23523,3699,4.0,2000-07-21 20:25:02
23523,5994,3.0,2003-01-24 01:38:10
1662,524,1.5,2009-05-19 22:13:54
44458,4687,3.0,2008-09-24 01:05:03
101112,1373,2.0,1999-10-02 15:19:51
109279,1094,3.0,2000-01-29 21:41:37
